JT_PAC,Turbidity_raw,pH_raw
5,1.8,7.392
6,1.8,7.392
7,1.8,7.392
8,1.8,7.392
9,1.8,7.392
10,1.8,7.392
11,1.8,7.392
12,1.8,7.392
13,1.8,7.392
14,1.8,7.392
15,1.8,7.392
16,1.8,7.392
17,1.8,7.392
18,1.8,7.392
19,1.8,7.392
20,1.8,7.392
21,1.8,7.392
22,1.8,7.392
23,1.8,7.392
24,1.8,7.392
25,1.8,7.392
26,1.8,7.392
27,1.8,7.392
28,1.8,7.392
29,1.8,7.392
30,1.8,7.392
31,1.8,7.392
32,1.8,7.392
33,1.8,7.392
34,1.8,7.392
35,1.8,7.392
36,1.8,7.392
37,1.8,7.392
38,1.8,7.392
39,1.8,7.392
40,1.8,7.392
41,1.8,7.392
42,1.8,7.392
43,1.8,7.392
44,1.8,7.392
45,1.8,7.392
46,1.8,7.392
47,1.8,7.392
48,1.8,7.392
49,1.8,7.392
50,1.8,7.392
